author,title,url,tags,categories,date,contents,topic
Rory Lee,The iPhone SE has the same display as the 5s according to iFixit’s teardown,http://www.soyacincau.com/2016/04/01/the-iphone-se-has-the-same-display-as-the-5s-according-to-ifixits-teardown/,"apple,Apple iPhone,Apple iPhone SE,ifixit,iPhone,iPhone SE,iPhone SE teardown,iPhone SE teardown iFixit,smartphone teardown","Apple,iOS,iPhone,Mobile Devices,Mobile OS",2016-04-01,"When a new phone comes out, the popular thing to do these days is to tear it down to find out exactly what’s inside these devices because clearly people want to know what they’ve spent their hard-earned money on. While Chipworks had their go at prying open the  , now it’s iFixit’s turn to have their way with  ‘s latest and what they reveal is actually rather interesting. It doesn’t take a genius to guess what smartphone the iPhone SE was based on, one look will tell you that it’s the spitting image of Apple’s older iPhone 5s. The question is, what’s new? Well, not the display apparently. In iFixit’s comprehensive teardown, one of the first things they noticed was that the iPhone SE had the exact same display as the older iPhone 5s. So similar, in fact, that they’re practically interchangeable. Yup, that means not only are the guides already available for those who want to DIY swap their broken iPhone SE displays for a new one, but you could theoretically use an old iPhone 5s’s panel too. The best part is that the display is plug and play between the two devices, so once you hook up the necessary connectors, the panel fires right up. Many have labeled the iPhone SE as an iPhone 5s stuffed full of iPhone 6s parts but that may not actually be entirely accurate. The 12-megapixel iSight camera, for example, may theoretically be the same as the one on the iPhone 6s, they’re not interchangeable. It is, however, quite different from the old iPhone 5s’s snapper (note the number of connectors) on the left, which is to be expected. You’d be happy to know that the iPhone SE also comes with a bigger 1,624 mAh battery, up from the iPhone 5s’s 1,560 mAh. Not a major upgrade, but coupled with improved battery optimisations, users should see an improvement in battery life over the iPhone 5s. Unfortunately, unlike the apparently interchangeable displays, the battery connectors on the iPhone SE differs from the 5s’s so no supercharging your old 5s. Another interesting thing that iFixit discovered was the waterproofing seals. Apple placed foamy silicone seals surrounding some but not all of the logic board connections. Curious. Wouldn’t Apple have wanted to maximise water protection throughout their device? I guess some corners had to be cut after all, but then again you shouldn’t be too disappointed as Apple   the iPhone SE as a waterproof device anyway. Be sure to check out iFixit’s   of the device if you want to learn more. What do you guys think of the iPhone SE’s internals? Is it worth the money?",8
Alexander Wong,Enjoy iflix and Viu for free on Maxis and Hotlink,http://www.soyacincau.com/2016/04/01/enjoy-iflix-and-viu-for-free-on-maxis-and-hotlink/,"free iflix,Free viu,Hotlink,iflix,iflix malaysia,Maxis,Video on Demand,viu","Hotlink,Maxis,Mobile Apps,Players on the Field",2016-04-01,"Maxis has finally jumped on the iflix bandwagon and they are offering 2 months free subscription for both postpaid and Hotlink prepaid customers. If you love Korean series, they are also offering Viu, a video on demand service that lets you watch TV shows 8 hours after its original broadcast in South Korea.  Similar to what   and   are offering, you get 2 months free trial worth RM20 for iflix which can be activated with no registration required. Make sure you’re on Maxis 3G/4G and disable WiFi before launching the iflix app. After the 2-month trial is over, you can subscribe at RM10/month which can be charged directly to your postpaid bill or deduct directly from your prepaid credit. It is the same story as well for Viu with 2 months free viewing and it will cost you RM10/month if you wish to continue.  If you’re hooked to iflix, it is probably better for you to sign up for an annual plan of RM96 which comes up to RM8/month. According to the FAQ, you’ll be charged automatically after 60 days but you will be reminded by SMS before the trial period is over. Note that there’s no free streaming so it is best to binge-watch over WiFi instead. So far there’s no free bundle and it would be good if they included this on their MaxisONE postpaid and  .  To start watching, head over to their   and   pages. You can learn more over  .",7
Rory Lee,Google Cardboard Plastic: Introducing the world’s first headset for Actual Reality,http://www.soyacincau.com/2016/04/01/google-cardboard-plastic-introducing-the-worlds-first-headset-for-actual-reality/,"april fools,google,Google April Fool's,Google Cardboard,Google Cardboard Plastic,virtual reality,VR","Cool stuff,Mobile Accessories,Others",2016-04-01,"“What’s realer than real?” 2016 was meant to be the year of Virtual Reality (VR). Nearly every major electronics company has poured resources into developing and owning this space and this year we’re starting to see some of the fruits of their labour. But what if Virtual Reality isn’t enough? What if we want something more immersive? What if we need something more  ? ‘s got you covered. The search engine giant says that it’s done with “putting something between you and the world”, which is why they decided to put something transparent between you and the world. Meet the Google Cardboard Plastic — the first Actual Reality headset. It’s magnificent. The Google Cardboard Plastic gives its users 100% full immersion in actual reality so you won’t get distracted by anything else. It’s also constructed with a lightweight plastic so that it fits unobtrusively into your lifestyle. With VR displays being notorious for their low-resolution display, the Cardboard Plastic gives users 20/20 resolution — it’s almost like you’re looking at real life. Worried about compatibility? Fret not, the Cardboard Plastic works with all apps and across all platforms, even your Nokia 3310. It’s also got 360-degree audio for the ultimate cinematic experience. With the Cardboard Plastic, Google has also shored up one of its biggest weaknesses with the original Cardboard — water resistance. The Cardboard Plastic is fully waterproof because…well, it’s made of plastic, not cardboard. We think Google has really hit the nail on the head with this one. It’s truly   and  .",2
Rory Lee,Celcom outs Home Fibre broadband plan — 10Mbps for RM145/month,http://www.soyacincau.com/2016/04/01/celcom-outs-home-fibre-broadband-plan-10mbps-for-rm145month/,"Celcom,Celcom fibre network,Celcom home broadband,Celcom home fibre,High Speed Broadband,HSBB,Malaysia,Malaysia fibre internet,TM,Unifi","Celcom,Players on the Field,Promotions,TM,UniFi",2016-04-01,": Celcom Home Broadband is now official. Available for FIRST Gold customers in the Klang Valley only. The fixed fibre broadband scene is heating up as   joins the race with their Home Broadband service offering speeds of up to 10Mbps. According to Lowyat.net, the telco’s new plan would be called the Celcom Home Broadband and will offer speeds of 10Mbps for RM145/month (excl GST). If you’re a   subscriber, you will receive a 50% discount for the first six months of your Home Broadband subscription. That means you pay RM72.50/month (excl GST) for the first six months. Lowyat.net also claims that this plan is targetted towards Celcom subscribers, but made no mention on whether non-Celcom subscribers are eligible. For calls, the Celcom Home Broadband will charge users 8sen/min to all networks, while IDD calls will follow Celcom Postpaid’s IDD rates and will be charged in 30-second blocks. The following table provides a detailed breakdown of the plan: Lowyat.net’s information came from an anonymous source, so we thought we’d call Celcom up and see if we could verify it. According to the Celcom customer service representative, the telco did indeed “launch” their plan today which lends credence to Lowyat.net’s source. The customer service rep confirms all the plan details in the table above and that it is indeed available from today onwards, however, he did not have any information regarding the coverage area. That said, he did inform us that users who wished to sign up or find out if their area was covered could simply visit a Celcom Blue Cube for more information. We have a hunch that Celcom’s fibre service will be using  ‘s High-Speed Broadband infrastructure (like Maxis Fibre) due to an   between the parties. This means if your area is covered by UniFi, you will likely be able to get Celcom Home Broadband too. Although today was supposed to be the launch, there is still no information about this plan on the Celcom website. The Celcom customer service rep ensures that you will be able to get more information on their website soon. It is worth noting that this isn’t Celcom’s first stab at a fibre broadband as they did have a   back in 2012. Looking at the plan, we’re not terribly impressed by it. It’s fine if you’re a light user that only wants to spend the bare minimum on fibre Internet connectivity, but if you’re a moderate or heavy user, you’re better off topping up a little extra for about two or three times faster speeds on   or  . You could also add RM4 more and get  ‘s 100Mbps plan — if you can find yourself within their coverage area, but that’s only slightly less difficult than finding a unicorn. The way we see it, the most attractive thing about this plan is the fact that you can get 50% off for the first six months if you’re a Celcom FIRST Gold plan subscriber. Besides that, you’re probably better off with one of the new plans from the other fibre providers. Want more information on the new fibre plans from TIME, TM and Maxis? Check out our  . Want a laugh? Check  . Do let us know what you think of Celcom’s new fibre plan in the comments below. : Celcom Home Broadband ad from TheStar.",9
Alexander Wong,Maxis responds to accusation of giving special offers to those that port out,http://www.soyacincau.com/2016/04/04/maxis-responds-to-accusation-of-giving-special-offers-to-those-that-port-out/,"Maxis,Maxis special postpaid,MaxisOne,MaxisONE Plan,MNP,Port out","Maxis,Players on the Field",2016-04-04,"Maxis currently has one the most expensive postpaid plans in the country and it’s not surprising for customers to consider  . Before a customer ports out, a telco can try to retain them and word has it that Maxis is giving   that are better than  .  A while back, there are customers complaining of discrimination when Maxis introduced a special   that offered 5GB of data, unlimited calls/SMS and free unlimited off-peak internet for RM68/month. As a comparison, the standard MaxisONE Plan comes with just 1GB of data and unlimited calls/SMS for RM98/month. As word got out, Maxis has came out to issue a   on these “selective offers”. What do you guys think? We do have   and friends being quietly offered a better deal. According to Maxis, they are calling it targeted campaigns but are you convinced? Let us know if you’re offered something similar by Maxis.",7
Rory Lee,Leica branded Huawei P9 spotted in the wild,http://www.soyacincau.com/2016/04/04/leica-branded-huawei-p9-spotted-in-the-wild/,"huawei,Huawei P9,Huawei P9 camera,huawei p9 dual camera,leica,Leica smartphone,Leica smartphone camera,Summarit","Android,huawei,Mobile Devices,Mobile OS",2016-04-04,"There has been   in the past that the   would be the first   device to sport glass made by one of the legendary camera makers,  . This came shortly after the two companies announced a   to reinvent smartphone photography. Now, it seems we do have some concrete evidence that the P9 would indeed sport the twin Leica lenses as was foretold. In previous leaks and iterations of the Huawei P9 — including those from serial leakster   — the smartphone was devoid of any branding, not even Huawei’s, which left many wondering about the validity of the Leica smartphone camera claims. In new pictures and renders by both   and  , the Huawei P9 is now proudly displaying it’s Leica branding. What’s a little disappointing to me though is that Leica didn’t go for the “red dot” branding, instead opting to just print their name on the back of the familiar P9. That said, the typeface used for the branding is consistent with those found on Leica’s own camera lenses so this lends some credibility to the images. From the pictures, the camera is bearing Leica’s Summarit badge with what looks like an aperture of f/2.2 and an equivalent focal length of 27mm. The lens array could also feature an aspherical element as denoted by the “ASPH” markings (though do correct me if I’m wrong). Besides the Leica glass, the Huawei P9 is rumoured to feature a dual camera setup on the back with each sensor featuring 12-megapixels. Said to be an evolution of the one on the  , the P9’s dual snappers should sport much of the features found on the 6 Plus including post-capture refocus and simulated aperture adjustments. This is exciting stuff. If I’m being honest, one of my biggest qualms with any of the Huawei devices I’ve used was the rather lackluster camera performance. Now with the German camera maker’s help, Huawei could very well have shored up one of their big weaknesses. Huawei’s P9 is set to be   on the 6th of April — and rumoured to come in   — so we’ll get confirmation of this and everything else then. For now, these are still just rumours so do take it with a grain of salt. What do you guys think of the P9? Would Leica glass be good enough to tempt you into picking one up?",6
Rory Lee,TIME and TM are engaging in social media warfare and it’s awesome,http://www.soyacincau.com/2016/04/01/time-and-tm-are-engaging-in-social-media-warfare-and-its-awesome/,"social media,TIME,Time Broadband,Time Fibre,TIME vs Unifi,TM,TM Unifi,Unifi","Cool stuff,Others,Players on the Field,Time,TM,UniFi",2016-04-01,"TIME has responded, TM bites back. Round 2…fight!  And it looks like the battle has come to an end. While our fibre broadband service providers are   to provide the best value, customer service and Internet speeds, the real question everyone should be asking is…who would win in a battle of wits? Well,  we’re going to find out soon enough as   and   exchange blows on social media in their latest attempt to serve each other with the most generous helping of sick burns. Ah, I love the smell of napalm in the morning. In the ongoing war for fibre supremacy, TIME revealed its hand, offering their customers speeds starting at 100Mbps for RM149/month. That’s incredible value, something TM’s 100Mbps UniFi Pro plan (RM299/month) simply can’t match in terms of raw speed per dollar. What’s more, TIME offers speeds of up to 500Mbps compared to TM’s 100Mbps cap. Gaining this little edge, TIME simply couldn’t resist dropping a little celebratory burn on TM with a cheeky Facebook post: OHHH! The folks managing TIME’s social media must’ve been high-fiving each other for that. A solid 6/10 on the burn scale, a much cheekier jab compared to the one they  . But, their celebration is short lived as TM responded in timely fashion with a jab of their own: Ouch! Granted, I believe they could’ve been more subtle and do away with the capslocked words but I think TM came out ahead here. In the meantime, here’s some advice for TIME: I don’t know about you, but I think turning something fun into something political is a pretty lame move. It’s like someone shouting “ “. Takes all the fun out of it. Shortly after TIME’s reply, TM had this to say: So, who do you think came out ahead in Round 2? And the winner is…?",2
Alexander Wong,HTC 10 will have the best boom sound yet,http://www.soyacincau.com/2016/04/05/htc-10-will-have-the-best-boom-sound-yet/,"Boom Sound,HTC,HTC 10,HTC 10 Speakers,HTC BoomSound,htc flagship,HTC flagship 2016,HTC M10,power of 10,smartphone","Android,HTC,Mobile Devices,Mobile OS",2016-04-05,"HTC’s   will be out next week and they have thrown another video teaser to talk about its speakers. As hinted earlier, the new HTC 10 is likely to carry a different   which will give the front appearance a cleaner look. Without giving definitive clues, HTC says the 10 will provide flawless high fidelity audio and it will be the best boom sound yet.  Audio has always been a huge asset for HTC and once you’ve tried boom sound, it is hard to settle for anything else. Instead of the usual two speakers up front, the next device is likely to use the earpiece and down firing loudspeaker combination for stereo sound. HTC apparently has done this on the Desire 825.",2
Alexander Wong,TM promises an exciting mobile offering is coming,http://www.soyacincau.com/2016/04/04/tm-promises-an-exciting-mobile-offering-is-coming/,"4G LTE,4G LTE Malaysia,lte,New Telco,P1,P1 4G LTE,TM,TM 4G LTE,TM mobile,TM mobile operator,TM P1,TMGo","P1,Players on the Field,TM",2016-04-04,"TM’s telecommunication offering will be complete with the launch of its   that’s happening on 13th April. At the moment, they have a triple play lineup with Fibre Internet, voice services and a formidable IPTV offering. Having a mobile service will be the final piece of the puzzle as TM will be able to cover users both at home and while on the go. According to TM’s group CEO Tan Sri Zamzamzairani Mohd Isa in an interview with  , it’s going to be exciting and they are on track to roll out its mobile service through P1. TM is no rookie in the mobile business. They were a key stakeholder when Celcom   and they had also started TM Touch with its 013 mobile number prefix. With TM   back in 2014, they now have access to run a 4G LTE network on 2600MHz in addition to its current 850MHz LTE network for TMgo. So what about availability? TM’s new mobile network should be able to provide nationwide coverage from the get go. Similar to U Mobile, TM   domestic roaming agreement with Celcom which will keep you connected when TM’s 4G network isn’t available. In exchange, TM will enable Celcom to offer   on HSBB and provide robust high-bandwidth connectivity to Celcom’s 4G LTE sites. Responding to critics, Zamzamzairani says that P1 is still a new investment and it will take a couple of years to turn profitable. He added that P1’s business has stabilised and they currently have 170,000 subscribers while TM’s own   broadband service has 60,000 subscribers. When touching on the subject of competition, Zamzamzairani added that senseless competition is not good for everyone but nonetheless, competition is good to keep TM on its toes. For us, consumers, we hope that TM will bring more to the table than just throwing  . On the expansion of fibre broadband, TM is now in the next phase with High-Speed Broadband Phase 2 (HSBB2) which will include extensions in Sabah and Sarawak.  In addition to fibre, TM also embarks on a Sub-Urban Broadband (SUBB) project that involves upgrading works of existing copper lines to support faster speeds up to 20Mbps.  will be rolled out across a 10 year period. Are you looking forward to Malaysia’s   telco? Let us know in the comments below.",5
Rory Lee,The OPPO F1 Plus is up for pre-orders now,http://www.soyacincau.com/2016/04/04/the-oppo-f1-plus-is-up-for-pre-orders-now/,"Android,Oppo,OPPO F1,OPPO F1 Plus,OPPO F1 Plus Malaysia,OPPO F1 Plus Malaysia launch,Oppo Malaysia,smartphone","Android,Mobile Devices,Mobile OS,Oppo",2016-04-04,"‘s   is an evolution of sorts from their original “selfie expert” the  . Coming in at a larger size, the F1 Plus also has a better (on paper) front camera than the F1 which should delight many selfie enthusiasts. With the upcoming selfie-centric smartphone due to launch on the 7th of April, OPPO Malaysia has opened pre-orders for the F1 Plus on their website. Also known as the  , the F1 Plus is an upgraded version of the F1, sporting better specs like a bigger 5.5-inch full-HD AMOLED display on the front sitting above the front-mounted fingerprint sensor. Inside, the smartphone packs a MediaTek Helio P10 processor mated to 4GB of RAM and 64GB of expandable internal storage. The device will also come running Android 5.1.1 Lollipop out of the box with colorOS 3.0 running on top. Keeping the lights on is a 2,850 mAh battery. Being a selfie-centric smartphone, the F1 Plus doesn’t really disappoint, on paper, in the front-facing camera department, packing a massive 16MP f/2.0 snapper. In fact, this device is so focused on selfies that the rear camera only sports a 13-megapixel f/2.2 unit with PDAF. The build and looks are very similar that of the F1 and if you’d like to take a closer look at this smartphone, you can check out our  . If you’re interested in preordering one for yourself, you can do so in two ways. The first is online via the  . Simply place a pre-order, non-refundable fee of RM1 and you can lock in your device. Alternatively, you can place a pre-order offline at authorised OPPO concept stores in Kuala Lumpur and Selangor. If you choose to place an offline pre-order, you will be required to pay an RM200 down payment. Pre-ordering the device does have some perks as OPPO are throwing in a selfie stick worth RM49 with every pre-order placed. Additionally, if you’re among the first 100 customers to complete the purchase on the day of the launch, OPPO will throw in a Bluetooth headset worth RM178.",6
