title,url,author,comments,categories,date,contents
"Acura NSX stars in red, white and blue Super Bowl ad",,Chris Aaron,,"Acura,Cars,International News,Videos",2016-02-01,"As America continues its countdown to the Super Bowl, Acura has just revealed its latest spot for the big show. Featuring an , the 30-second commercial is a pure expression of red, white and blue pride.Yes, the NSX is exclusively produced in North America (sold elsewhere as the Honda NSX), and Acura is quite proud of the fact – so much so, that you’ll literally only see red, white and blue colours throughout this clip. And you couldn’t ask for a more American soundtrack than Eddie Van Halen’s  playing in the background.The Colorado Panthers may be taking on the Denver Broncos on February 7, but you’ll have to wait until February 25 for the NSX’s configurator to come online – marking the first day dealers in the US begin accepting orders for the car.Just this morning, we reported that the  for a staggering USD$1.2 million (RM5 million) – well over its  when fully loaded with options.As promised, the auction, organised by Barrett-Jackson, will now hand over all proceeds to two children’s charities – the Paediatric Brain Tumour Foundation and Camp Southern Ground, the passion project of Grammy Award-winning artist Zac Brown.The  is powered by a complex Sport Hybrid Power Unit powertrain. The rear axle is driven by a 500 hp/550 Nm 3.5 litre DOHC twin-turbo V6 petrol engine and a 47 hp/148 Nm Direct Drive Motor. Two more motors exclusively power the front axle. The front-mounted Twin Motor Unit (TMU) puts out 72 hp (36 hp at each wheel) and 146 Nm. Collectively, the NSX has a total system output of 573 hp and 645 Nm."
VIDEO: Hyundai shows teasers of its upcoming super bowl ads – will feature Genesis G90 and 2017 Elantra,,Graham Chin,,"Cars,Hyundai,International News,Koreans,Videos",2016-02-02,"Super Bowl Sunday is always a great place to present creative ads. Hyundai, in its first year as an official NFL sponsor, will be showcasing four ads during the Super Bowl 50. Apart from celebrities such as Kevin Hart and Ryan Reynolds, the  and the  flagship sedan will also be the main stars. The first 60-second ad titled “First Date” features Kevin Hart, and will showcase the Genesis’ tech with an emphasis on  feature.“The Chase” appears to have a thriller-like theme to it and with relatively good reason too. It will attempt to highlight Hyundai’s voice-activated  feature, which can be found on the Elantra. The company says that the 30-second ad will show viewers how said feature “can truly be a lifesaver.”“Ryanville,” will star Hollywood heartthrob, Ryan Reynolds. While it’s quite obvious what the Korean brand is trying to convey in the teaser, it should be entertaining nevertheless. The ad will test two women in an Elantra and their ability to keep their eyes on the road in “the most distracting neighbourhood ever.” It’s safe to assume that Automatic Emergency Braking with Pedestrian Detection will be shown in this one.The final ad (not shown here), titled “Better” will focus on the company’s new branding campaign. The ad follows the life of a boy from birth, all the way to adulthood. His aspiration? To make the world a better place.It depicts the company’s mission to make its vehicles and the whole consumer experience better. “Through human-focused technology, distinctive design and uncompromising workmanship, Hyundai strives to make things better for drivers everywhere,” Hyundai states."
"Last of a legend: Land Rover ends Defender line in Solihull, announces Heritage Restoration programme",,Mohan K Ramanujam,"[(u'syer1n', u'is it just me or Land Rover has end the line of legendary vehicles 12,507 times already?'), (u'john', u'Classical and looks easy to build. Tata shud bring it to India and continue. It wud suit their country well')]","Cars,International News,Land Rover",2016-02-01,"After 68 years and more than two million units, Land Rover brings to an end production of the Defender, and prior to that, the Series Land Rover, at its famed Solihull works. More than 700 current and former employees of Land Rover who were involved in the production of Series Land Rover and Defender vehicles were invited to commemorate the last vehicle off the line, a Defender 90 Heritage Soft Top.Dr Ralf Speth, chief executive officer of Jaguar Land Rover, said, “today we celebrate what generations of men and women have done since the outline for the Land Rover was originally drawn in the sand. The Series Land Rover, now Defender, is the origin of our legendary capability, a vehicle that makes the world a better place, often in some of the most extreme circumstances. There will always be a special place in our hearts for Defender, among all our employees, but this is .”More than 25 vehicles from Land Rover’s long history were on display around the Solihull plant. The last of the Defender vehicles – destined to be housed in the Jaguar Land Rover Collection – includes an original part that has been used on Soft Top specifications since 1948 – the hood cleat.Also announced was Land Rover’s Heritage Restoration programme, which will initially begin with the restoration and sale of early Series Land Rovers. Comprising of a team of 12 experts with a combined total of 172 years of experience – ten of whom are being transferred over from the now closed production line – the programme focuses on the restoration, service and the sale of Series I vehicles and will later expand to include other Series vehicles and Defenders.Land Rover also announced the upcoming launch of its online ‘Defender Journeys’ platform, which will allow owners to upload details of their most memorable journeys in a Series Land Rover or Defender. The  is still available for sale in Malaysia at a retail price of RM153,888 including GST. A Limited Edition Accessories package is available at RM65,388 including installation and GST."
2016 Toyota Rush updated in Indonesia – 7-seater TRD,,Danny Tan,"[(u'seancorr', u'Honda ftw'), (u'xxxxx', u'What !!! This car still exist ??? Better don\u2019t bring to Malaysia, bring on RAV4 la'), (u'Really', u'If you put firmer suspension than the standard ones, the rear passengers will curse you and vomit all over the car. It\u2019s clear this is aimed at the Honda BR-V. But seriously those who buy this really need to get their brains checked!'), (u'Sammy Loo', u'TRD! This car can do some sideways'), (u'klguy', u'wow, Merc GLE contender'), (u'Axia', u'Damn,this car is so classic than landrover defender'), (u'nosame lor', u'uglier interior design with stupid price.'), (u'lazyf', u'Haiyaaaaaa'), (u'zul persona', u'No need to update lorrrr'), (u'altimi', u'Make a new one thats better lorrrr'), (u'john', u'Perodua Kembara rival has come.. LOL! =)'), (u'fsl', u'rear wheel drive! @alldisc mesti suka ni\u2026.'), (u'Donwan BR1M', u'All new Rushing-to-Grave'), (u'Diesel Power!!!', u'This car taylormade fr idiot only\u2026sam loo favourite'), (u'maidin', u'TRD = Toyota Retarded Design'), (u'Vito', u'OMG, dun bring it here\u2026plz!!'), (u'calcutta', u'just put the price rm70k and below if come to msia then i will straightly book')]","Cars,International News,Toyota",2016-02-01,"The Toyota Rush, which  in March last year (), is set to get an update for 2016. These images, from a sales-oriented website in Indonesia, show a refreshed TRD Sportivo version of the budget SUV. According to local reports, Toyota will be giving the Rush TRD Sportivo 7 and a new range-topping Rush TRD Sportivo Ultimo three rows of seven seats, while the Rush G from a rung below will continue in two-row/five-seater form. The latest TRD Sportivo gets a red highlight strip above the grille as well as decals on the shoulder line and spare wheel cover. The Ultimo seen here sports new wheels. Apparently, there will be a TRD Sportivo suspension set (shocks and springs) that will be softer and more comfortable than the standard suspension. It goes against the convention of TRD Sportivo = sporty = firmer, so it should be something unique tailored to Indonesian carbuyer requirements. This reconfiguration could be Toyota Astra Motor’s response to . The first batch of the latter, a seven-seat SUV version of the Mobilio, is currently being delivered to customers. Since January 23, over 1,000 units of the BR-V have been handed over."
VIDEO: Mercedes-Benz GLE gets off-road thumbs up,,Chris Aaron,,"Cars,International News,Mercedes-Benz,Videos",2016-02-01,"Mercedes-Benz has released a new promotional video for its . The facelifted ML-Class with a new name gets taken off road by Gunther Holzman, a German off-road guide, into a south Albanian valley.Holzman explains that while scenic, off-roading in Albania is no simple task. Requiring discipline and respect for the terrain, and of course, a very capable vehicle.The GLE is put through its paces on an 80 km, 10 hour-long drive by Holzman, who speaks highly of his machinery. Interestingly, the GLE here features no special off-road tyres or underbody protection – none that would make it different from the GLE sold in Malaysia.It is, however, a plug-in hybrid variant. The  is powered by a 3.0 litre twin-turbo V6 petrol engine, assisted by a 114 hp electric motor. Its total system output equates to 436 hp and 650 Nm of torque.In Malaysia,  – the GLE 400 4Matic, and the GLE 250d 4Matic. They are priced at RM568,888 and RM486,888 respectively."
Proton’s new engine line-up – why so many variants?,,Gerard Lye,"[(u'hailthepurist', u'where the 2.0..'), (u'Henry', u'Don\u2019t try to be clever. With so many different engines the inventory will kill you. Learn from the other established manufacturers were they use one or two engines throughout the whole range of cars but differently tuned.'), (u'cat', u'Its just one engine split into 6.They need something to justify 600 mill spent. Cut off a cylinder, reduce stroke size, add a turbo, change flywheel mass a bit, u now have 5 more engines to milk the rakyat'), (u'Atilla', u'Just because p2 is doing well in a certain segment it doesnt mean p1 should enter it. Theres a reason why folks buy p2 even when p1 offers a close alternative. Only p1 people are blind to the reasons.'), (u'ioma', u'Why so many variant you asked?'), (u'Absolute Rider', u'\nThis is a company that think more is better as opposed to reliability. Just look at their plan to launch 4 models this year.'), (u'seancorr', u'Proton,'), (u'Satria', u'just make sure the project run smoothly. All working together, work hard and smart. Please do not delay this project. Of course, in other developments including doing good designs of your future cars and getting all vendors to do their work. Come out with good quality products, that is very important.'), (u'Sam Loo', u'Thank you. 1.5L TGDI can ready by end of 2017 with a hot hatch please\u2026. in very early of 2018?'), (u'Donkey John', u'Yep that pretty much confirms no flying turbo Sagas on the road next time.'), (u'Proton & Electron', u'The key here is modular engine design so it can derive variants. Good job for Proton to think ahead. I hope Proton is also start thinking further ahead for fuel cell hydrogen.'), (u'Donwan BR1M', u'Who cares.. People still buy toyota! Proton bad RV!'), (u'Muahahaha', u'Proton on target to sell 10 million cars and beating BMW, Toyota in its own backyard market.'), (u'Jee Lones Ian', u'Apadah? Those are not pics of the new engines.'), (u'Jan', u'this engine lah, that engine lah\u2026\u2026but last-last all engine taboleh pakai. Just like all the current Proton engines.  '), (u'firdaus', u'No power, easily breakdown and high fuel consumption.'), (u'Silthice', u'Do u know why so many variants? Then oni can use ppl money for own use\u2026')]","Cars,Local News,Proton",2016-02-01,"When Proton announced its new engine family, a total of six engines were listed, including VVT, GDI and TGDI mills. Some have questioned why there is a need for so many engine variants to be introduced, especially when they share close capacities. According to Proton chief technical officer Abdul Rashid Musa, this is to allow for variable vehicle packaging for different market needs.As a brief refresher, these are the  that are currently in Proton’s pipeline:Rashid stated the new engines utilise a modular design, whereby the 1.3 and 1.5 litre four-cylinder units use the same bore of 75 mm, but with different strokes to achieve the desired capacities. The 1.0 litre and 1.2 litre mills meanwhile, are a result of one cylinder being cut off from the above-mentioned engines. The new engines also uses  obtained earlier, ensuring lower development costs. By comparison, all six engines cost RM600 million to engineer, compared to the two CamPro engines that cost RM450 million to develop.“The engine will be for small cars, even though it’s a 1.3 litre four-cylinder, the engine is too big to be inserted into the engine room for an A-segment car, for example. That’s why we need the 1.0 or 1.2 litre three-cylinder, which is smaller to be packaged into the car. So, it’s not just about the size of the engine but the packaging consideration, that’s why they are so close in proximity in terms of capacity (1.2 and 1.3 litre) but differ in purpose,” Rashid said.“In fact, I ask this question about other OEMs as well. Why they have 1.4 and then 1.5 litre engines. I think one of the considerations by other OEMs is related to packaging as well. So, in Proton’s case, it was meant and intended for smaller car. To achieve better fuel efficiency, it’s not just about the engine, we need to make the car lighter, more aerodynamic for better fuel economy,” he added.When the Proton Saga was brought up, Rashid mentioned, “the current Saga can fit a four-cylinder engine. The  may not fit the four-cylinder engine. This means that the three-cylinder engines will only be introduced beyond the new Saga that will be introduced this year, because the new engines will only be ready by 2017.”When asked if the next Saga will be smaller to make room for the , Rashid replied saying it depends on market needs. As these engines are modular in design, it provides Proton with options to produce the appropriate engines without excessive cost. It’s also allows the flexibility to package the required powertrain. “Looking at Malaysia’s TIV, Perodua’s Axia 1.0 litre car is commanding nearly 10,000 units per month, so there is a big opportunity for Proton to participate in this area,” he added.Rashid also touched upon Proton involvement in the total value chain of automotive business, which includes operating its own casting, engine machining and assembly plants, as well as mould and die-making (via Miyazu). These early investments stretch back many years and have a role to play in Proton’s future.“Because we are a small volume player, we have to find a means on how to produce these small numbers economically. The only way to do that is by having modular engine design, so we can communalise maximum possible part and components, be it three- or four-cylinder engines,” he said."
Proton’s new torque converter CVT not from Punch,,Jonathan Lee,"[(u'So far off', u'So does this mean the new Persona and Saga will still use Punch transmissions?'), (u'Drive', u'Disappointed, was looking forward to it. I\u2019ll wait for late 2017/2018 before I buy Proton I guess.'), (u'vs', u'Proton should consider develop their own power train so not depend on others in the future.'), (u'Crack', u'Ala no need to produce new engine or gearbox because many of them cant even a new proton car lol they can only afford a 20 century proton lol'), (u'Pewdiepie', u'The gear knob plastics supplier also should be changed. Looks ugly.'), (u'Absolute Rider', u'Good to know that it isn\u2019t Punch for this time. Proton really got to step up and make their cars less problematic. It\u2019s all about reliability and the safety of one\u2019s life.'), (u'Jonn Dol', u'Proton must have a 3 door or 5 door hot hatch model in 2018 and should on their table by now since 1.5L TGDI ready by that time.'), (u'Teringin', u'Launch it in the first quarter of 2018. Cheers\u2026.'), (u'CSR', u'Please, do not delay the engines release date.'), (u'ioma', u'\u201cNevertheless, he commended Punch Powertrains for being a good partner over the years, and he says the company could revert to Punch transmissions once they are ready\u201d.'), (u'Jajaja', u'Why just revert to Punch tranny? Open up Invitation To Bid la. Invite the others \u2013 Jatco, Aisin, Getrag, Borgwarner (the last two might not be so interested in CVTs)..'), (u'DK', u'Why not use ZF? Barulah rasa BMW'), (u'john', u'Going to Jatco could be a really good move, as Nissan\u2019s CVT is one of the best in the business. And as we all know, Proton\u2019s Achilles heel nowadays is their absolutely hateful CVT gearbox.'), (u'M Night ShyMalam', u'What about the floor mat? Who is supplying? If they are using silk as the floor mat, they can shut up and take my money.'), (u'Henry', u'1.5 TGDi 180HP 260NM wuhuuuuuuu'), (u'Ken', u'\nEnuff to smoke 2.5 cc car. Can even tailgating toyota 86 wuhuuuuu'), (u'Absolute Rider', u'I wonder if that Punch Engineer trolling local forums telling off proton owners saying the problem is not their CVT but their driving habits,  still has a job?'), (u'sparcov', u'syukur lah')]","Cars,Local News,Malaysian Makes,Proton",2016-02-01,"Proton’s chief technical officer Abdul Rashid Musa has confirmed to  that the national carmaker’s new torque converter CVT – to be matched to the company’s , replacing the current start-up clutch units – will not be supplied by Punch Powertrains, but by another transmission maker.Rashid said that although the Belgian-based company is , it won’t be ready in time to be mated to the new engines, so Proton had to look elsewhere. “We discussed with them, I told them to bring [the transmission’s development] forward from their schedule, but they said they couldn’t,” he said. “That’s why we need to go to somebody else. They have their own plans, I have to respect that, but unfortunately their timing is a bit different from ours.”Nevertheless, he commended Punch Powertrains for being a good partner over the years, and he says the company could revert to Punch transmissions once they are ready.Although Rashid declined to name the supplier of the new transmissions, rumours suggest that they may come from Jatco – the Nissan-owned CVT expert erected its own booth at the , so the signs are definitely pointing in that direction."
Volkswagen Golf GTI Clubsport Lightweight coming?,,Graham Chin,,"Cars,International News,Volkswagen",2016-02-01,"Here’s something interesting – according to a high-ranking official, Volkswagen has built a lightweight version of the  (pictured here),  reports. While it may already be ready, sitting at the company’s facility in Germany, it seems that Volkswagen is contemplating as to whether such a sporty car should be introduced at this point in time due to the ‘’ scandal.Billed the Volkswagen Golf GTI Clubsport Lightweight, the front-wheel drive hatchback is claimed to be inspired by the Porsche 911 GT3 Clubsport. The model is a road-legal car that’s aimed at those who want to enter track-day events, motorkhanas and hill climbs. The model will also see the EA888 turbocharged 2.0 litre four-cylinder engine revised as well.While it’s the same mill as the standard Golf GTI Clubsport, said revisions include increased turbocharger boost pressure and a higher ignition cut-out. With this, the Lightweight version will deliver a total of 300 PS.“We’ve increased the threshold so it delivers a permanent 300 PS, which is only achieved momentarily on the overboost in the Golf GTI Clubsport,” the source said. Torque however, will stay put at 380 Nm. As for the gearbox, the hatch will come paired with either a six-speed manual or a dual-clutch automatic transmission, with an electronic differential.As for weight, the company has employed less sound deadening materials to bring the standard car’s kerb weight (1,375 kg) down. Currently, the Golf GTI Clubsport does 0-100 km/h in a matter of 5.9 seconds, it is claimed that the new version will outdo that time. Interior-wise, there will be modifications as well, including a different seat in the back.Production of the Lightweight version is still on the fence as the final verdict lays with the newly-elected supervisory board. The board is said to be apprehensive about the message that the model will send in light of the ongoing investigations. That said, the model may be unveiled at Wothersee before a final decision is made. If it does get the go-ahead though, it is said that less than 100 units will be made."
VIDEO: Tesla Model S Autopilot features put to test,,Chris Aaron,"[(u'john', u'syukurlah kerajaan BN. BN sudah sewa a few units to test. Only RM1 million each. Sure can sell well in msia'), (u'Leafable', u'Wouldn\u2019t work here. Thats no road marking on the tarmac here.')]","Cars,International News,Technology,Tesla Motors,Videos",2016-02-01,"Tesla has released a new video called “Revolutionise Your Commute,” which shows off the brand’s latest Autopilot features for the . As part of its latest , the brand’s new Autopilot feature has four driving modes – Autosteer, Auto Lane Change, Auto Emergency Steering and Side Collision Warning, and Autopark.In this clip, you’ll get to see all four modes in action, including the new “Summon” command which was recently added with the version 7.1 update. Summon is a function that allows drivers to start up the vehicle from their mobile phones, and have it automatically drive out of a garage or to your doorstep to greet you.The video starts off the a driver using the Summon function, then gets in his car and engages the Autopilot system. With a Traffic-Aware Cruise Control and Auto Lane Change, the  shows off its ability to maintain a centred position in a lane, then autonomously switches lanes at the flick of a stalk.“It is probably better than humans at this point in highway driving. It is certainly better than a human at staying in the centre of lane,” claimed Tesla boss Elon Musk, at the launch of its latest software update.“The release of Tesla Version 7.1 software is the next step toward developing fully autonomous driving capabilities and delivering them through over-the-air software updates, keeping our customers at the forefront of driving technology in the years ahead,” said Tesla press materials.The video also shows the Model S perform another one of its latest tricks – a parallel parking manoeuvre. Having a located an available parking spot, all the driver needs to do is hit the “P” button on the centre control screen, and the magic happens."
MIMOS concept vehicle set to enter Red Dot Awards,,Anthony Lim,"[(u""P'nang"", u'So what\u2019s so special and innovative about this design that is developed in four days, that warrants it a Red Dot award?'), (u'mao', u'Remove the perodua logo and it will be awesome design'), (u'hailthepurist', u'ohh no..'), (u'jc', u'almost got shocked when i misread and thought it won reddot design award :D'), (u'PeterGriffin', u'enter only\u2026ok ok..calmed down'), (u'SAB Goblin 380', u'Ugly. There, I said it.'), (u'fanofthisite', u'This is Fugly, please don\u2019t enter red dot awards!')]","Concept Cars,Local News",2016-02-01,"Something along different lines – MIMOS, the national R&D centre in information and communications technology under the purview of the Malaysian Ministry of Science, Technology and Innovation (MOSTI), has revealed renderings of a concept vehicle, which it says is set to be entered as a submission to the Red Dot Design Award this year.The industrial design department at MIMOS says that the design – of a two-door crossover-style hatch – will be further developed before it is submitted to Red Dot. The innovation concept vehicle was developed during a four-day training course held by MIMOS. The training course was for automotive designers, centered around 3D design development, and was organised by Adestech, the supplier of Autodesk AliasStudio. The automotive field isn’t the only thing MIMOS ID does, of course – it offers industrial design training related to any industrial design fields, from conceptual sketches to production.What do you think of the MIMOS ID concept vehicle? Fancy it bagging a prize at this year’s Red Dot Award?"
"Proton GDI and TGDI engines – maintainance cost to be less than CamPro, 20,000 km service interval",,Gerard Lye,"[(u'Jajaja', u'1.5 TGDI 180hp 250NM enuff to tailgating rude toyota 86 that i spotted zig zagging in highway. Good job Proton'), (u'dodgeviper88', u'Even if service intervals were at 2,000km i\u2019ll still be worrying about the engine exploding/catching fire; you must be crazy talking about 20,000km service intervals.'), (u'Alan Yest', u'Rashid gave an example of stop-start driving, which can shorten the interval between oil changes'), (u'Long', u'Does this means I need to service and change oil more regularly. If that\u2019s the case then please don\u2019t implement such system.'), (u'Pusat', u'New Putra and Satria please'), (u'Axxx', u'Iriz 1.5 TGDI 180hp 250NM really jilake\u2026'), (u'Laugh gao u proton', u'Malaysian dun know about car technology,  they still prefer 5000km service for old tech.'), (u'nabill', u'Hahahaha, comp pariah lagi nak buat lawak. 20k interval u tot u are the Germans ar. Tak sampai 5k sudah sang kut kat tepi jln ni.'), (u'azmi', u'i want torque , not horsepower \u2026'), (u'Mohd', u'\ni hope those service centers wd apply those rules n not push tell u otherwise\u2026'), (u'kereta_lembu', u'Can pls stop promoting this engine thing? compared to all other top OEM engines. this is ancient tech. pls concentrate on real technology and companies not on this.'), (u'ken', u'I\u2019ve got a Ford 2.0 TDCI with 180PS. The service interval is 30.000km and it\u2019s even a turbo diesel with a timing belt.'), (u'kendrix lamazz', u'BTW: MAN lorries have a service interval of up to 120.000km\u2026 ;)'), (u'Mr.R', u'2018\u2026 masa tu you punya teknologi dah outdated\u2026 steve jobs cakap bila brg dah keluar\u2026 you cakap, tp you punya brg lg 2 tahun mahu keluar\u2026 itu pun belum.tentu. Too slow'), (u'IrizX', u'with 20K service interval Proton will enter a new era, such a long service interval means they have to make sure that the engine is really robust because customers will only visit a service centre once a year on normal driving distance\u2026.'), (u'seancorr', u'Kudos to Proton for looking forward'), (u'Ong Chee Boon', u'Just drove BMW 316i yesterday and the stop-start driving function is BRILLIANT!! Please implement it on Proton\u2019s car but hopefully with no problem ofcourse.. :)'), (u'john is otak batu', u'All this tokking cok.'), (u'Atilla', u'Please come back in 2018 when you have a new car with the new engine. Now it\u2019s all tok and nothing to show.'), (u'Donkey John', u'And it will be probably 2020 before a tried and tested version (using the rakyat as white mice) before it is truly road worthy without breaking down every month.'), (u'Proton achieving 13% TIV in 2016', u'Only time will tell how good or bad it is\u2026'), (u'Silthice', u'I, for one am all for his explanations. But to realise it (lower maintenance and servicing cost, reliable and durable), is ANOTHER THING.'), (u'normal_user', u'We all know proton R&D is solid, only bad thing hampering them now is cronyism, QC, and poor aftersale service.'), (u'zer', u'Wow..so long again somebody like jimmy hi lite that it is better than bmw..syok sendiri ..betul!!!.  Try post this to Bavaria HQ. ..  :P'), (u'ioma', u'As it is many proton owners already keep 20-30k service intervals. Why? You know lah.')]","Cars,Local News,Proton",2016-02-01,"Proton’s  will certainly be a technological step-up from its current CamPro offerings. With  like , turbocharging and a higher compression ratio, will maintenance costs be bumped up as well? During an exclusive interview with , Proton chief technical officer Abdul Rashid Musa has said it should be lower than the current CamPro engines.He stated that the engines, which are slated to come into the market in 2018, will have a longer service interval. “The service interval will be double than the current VVT engine and I believe the technology has matured for this, that the components’ life cycle is longer, quite reliable,” he said.Rashid said that Proton is targeting to extend the service cycle of the new GDI engines from 10,000 km as on the Preve, Suprima and Iriz to 20,000 km, per service. “But of course you need to check other things in the engine,” he said. “Sometimes, people get confused when high technology is used. It’s not only necessary to check the engine oil, there are other things to monitor about the engine depending on your usage.”“[The service costs] will be [lower] definitely. I think those are the strengths of the engine as well,” he added. The  in the engines should also lower maintenance costs.Rashid mentioned that the new engines’ focus isn’t sports car-like high-performance. “I’m not saying superb performance, but good performance, low maintenance. Performance doesn’t necessarily mean horsepower. Performance also relates to fuel efficiency, emissions, and others as well,” he said. He also said that, like safety, there are three tiers to conducting maintenance on the engine – protection, prevention and prediction. The first tier of maintenance is the protective kind, whereby the car protects itself from further damage such as in the case of overheating. The second level, preventive, concerns routine maintenance that helps prevent engine damage altogether, such as fixed service intervals. It’s the final tier, predictive or cognitive maintenance, that Proton is looking to implement into its future vehicles – Rashid said that the company is future-proofing the new engines to be able to adopt Condition Based Maintenance (CBM). With this method, the car will analyse its actual condition to determine when to change the engine oil, rather than relying on fixed cycles.Rashid gave an example of stop-start driving, which can shorten the interval between oil changes, as the engine will continue to run even though the car spends less time moving. The technology has already been implemented by companies such as BMW, and Rashid said Proton wants to bring this level of maintenance to the masses."
Steel plant explosion halts Toyota Japan production,,Mohan K Ramanujam,"[(u'john', u'The all new toyota. Previously with exploding airbags, now with exploding steel.')]","Cars,International News,Toyota",2016-02-01,"Toyota Motor Corporation today issued a press statement that it will be stopping production at its Japan domestic plants from February 8 to 13 due to an explosion at a facility belonging to Aichi Steel Corporation on January 8.A Toyota spokesman said in a  report that it had enough inventory to keep the Toyota plants running till February 8, and that all overtime and weekend shifts had been cancelled. In a separate statement, Aichi Steel said the explosion at its Chita plant in central Japan had halted the production of special steel parts and it planned to resume operations on March 8.This unplanned shutdown may have an impact on Toyota’s Japan production plan of 4.13 million vehicles this year, of which approximately 46% are exported. Toyota had no comment about which vehicles would be affected out of the 14,000 units a day it produces in Japan.Toyota’s planned 2016 production is 10.2 million vehicles world-wide, from last year’s figure of . This makes Toyota the world’s largest carmaker, beating Volkswagen."
"“AES to save, not punish,” claims Transport Minister",,Chris Aaron,"[(u'Tipu Tipu Malaysia', u'How to save? Pls tell us about the 2 crony companies. Just Sdn Bhd but each can earn a potential of RM10 BILLION each clean profit just by profit sharing with PDRM per annum.'), (u'Car Got Saman. Moto No Saman', u'Even Bursa listed companies cannot earn clean profit that much in a year'), (u't2357s', u'Also ls tell us why the company charge the Government RM1 million per camera? Are they using Naza Telescope?'), (u'kazanixm', u'Everyday hundreds of motorbike beat the red traffic light. The polis officer manning the light just smile at the motorbikes beating the lights.'), (u'theanswer', u'But these motorbikes never get saman. Even AES also never give them saman. Is this fair?'), (u'Painter', u'They beat the lights, they cause risk of major accidents too but the polis and the AES and AGC all got no telur (balls) to saman these motorbikes.'), (u'isuzuki', u'If you saman cars, you must be fair and saman the motorbikes. After all, if they beat the light, a major accident involving many cars can happen.'), (u'carazy', u'I hope the AG, AGC and PDRM Trafik all can grow some telur and be brave to saman the motorbikes. Don\u2019t have double standards lah PDRM.'), (u'rakyat', u'Aaahhh chhoo!!!!!!!!!!'), (u'Andrekua', u'Been sneezing all day. Now I see why. Sorry, I am allergic to BS.'), (u'choong hui ken', u'The minister should give much more \u2018intelligent\u2019 responses such as \u2018AES is more like a reminder on the speed limit in the area\u2019\u2026'), (u'SAM', u'*sigh* Ministers these days\u2026.'), (u'ioma', u'Also, just so you guys information, superbike had also get summon from the AES camera. '), (u'john', u'Can`t really outrun them unless on a very high speed (300++kmh, if not mistakenly, Mythbuster on Discovery Channel already done several test to outrun the speed cam)'), (u'man', u'then..give proper warning/sign. highlight the camera properly (unlike the one in slim river or putrajaya).'), (u'ben yap', u'I\u2019ve been calling for the authorities to change the mode of punishment, from fine to engagement in the form of counseling to suspension of license and mental health evaluation for repeat offenders. '), (u'Sharon', u'This may cause administrative nightmare but will surely be proven to be more natural in dealing with human behavior.'), (u'Donwan BR1M', u'I say save\u2026 save who ?'), (u'Donwan BR1M', u'Hello Pak Menteri, pls put AES at the sharp corners where usually motorist tent to test their \u201cskill\u201d such as in Karak-Bentong stretch, or at Genting Highland road, or at any dangerous road that prove it is a prone to accident. And do not put AES at the long strait road where normally you tend to put it, for a profit. If you really care for the rakyat, not ur pocket.'), (u'Kayu Tiga', u'if really want to save, just implement the demerit point system will do. no $$ involve.')]","Cars,Local News",2016-02-01,"Transport Minister, Datuk Seri Liow Tiong Lai announced that the Transport Ministry has received overwhelming response following its  leading up to the widened enforcement of .Having welcomed suggestions from the public , Liow claimed that there has been a lot of positive input from road users. Several have put in recommendations for new AES locations, others general improvement plans for the system.According to , Liow also reminded the public that it has up to March 31 (2016) to submit ideas to the ministry to help it improve the two law enforcement systems.Saying that the implementation of the AES and Kejara systems were not plainly to punish drivers, Liow stands firm on the  being there to save them. According to a recent study by the Road Transport Department’s (JPJ), nine out of 10 motorists said that they would comply with traffic laws if cameras were in place.“Some 90% of the road users will comply with the speed limits on stretches with traffic cameras, compared to just 60% on roads without the monitoring system. It will be very effective in reducing accident and death rates if the ,” said Liow.The minister revealed that in 2015 alone, 6,706 road users were killed in a total of 489,606 recorded road accidents. The figures show a rising trend when compared to 2014’s toll of 6,674 killed in 476,196 accidents.Worryingly, this amounts to an average of 18 deaths per day in 2015 and a road accident for every minute of the day. “We want to make roads safer for all but enforcement and punishment alone cannot effectively achieve this. It is self-discipline that helps to save lives,” Liow continued.Do you believe that the widened enforcement of the AES and Kejara systems will help to reduce the death rate on Malaysian roads? Tell us what you think in the comments below."
